Date,Start(ET),Visitor,VisitorPts,Home,HomePts,OT,Atten,Notes
"Tue, Nov 24, 2015",9:00p,Los Angeles Clippers,111,Denver Nuggets,94,,"13,257",
"Tue, Nov 24, 2015",10:30p,Los Angeles Lakers,77,Golden State Warriors,111,,"19,596",
"Tue, Nov 24, 2015",8:00p,Dallas Mavericks,96,Memphis Grizzlies,110,,"17,381",
"Tue, Nov 24, 2015",10:00p,Chicago Bulls,93,Portland Trail Blazers,88,,"19,393",
"Tue, Nov 24, 2015",7:00p,Indiana Pacers,123,Washington Wizards,106,,"15,486",
"Wed, Nov 25, 2015",7:30p,Philadelphia 76ers,80,Boston Celtics,84,,"17,588",
"Wed, Nov 25, 2015",7:00p,Washington Wizards,87,Charlotte Hornets,101,,"17,064",
"Wed, Nov 25, 2015",7:30p,Miami Heat,81,Detroit Pistons,104,,"15,119",
"Wed, Nov 25, 2015",8:00p,Memphis Grizzlies,102,Houston Rockets,93,,"18,143",
"Wed, Nov 25, 2015",10:30p,Utah Jazz,102,Los Angeles Clippers,91,,"19,060",
"Wed, Nov 25, 2015",8:00p,Sacramento Kings,129,Milwaukee Bucks,118,,"14,120",
"Wed, Nov 25, 2015",8:00p,Atlanta Hawks,95,Minnesota Timberwolves,99,,"14,289",
"Wed, Nov 25, 2015",8:00p,Brooklyn Nets,99,Oklahoma City Thunder,110,,"18,203",
"Wed, Nov 25, 2015",7:00p,New York Knicks,91,Orlando Magic,100,,"18,846",
"Wed, Nov 25, 2015",9:00p,New Orleans Pelicans,120,Phoenix Suns,114,,"16,338",
"Wed, Nov 25, 2015",8:30p,Dallas Mavericks,83,San Antonio Spurs,88,,"18,418",
"Wed, Nov 25, 2015",7:30p,Cleveland Cavaliers,99,Toronto Raptors,103,,"20,140",
"Fri, Nov 27, 2015",7:30p,Washington Wizards,78,Boston Celtics,111,,"18,624",
"Fri, Nov 27, 2015",7:00p,Cleveland Cavaliers,95,Charlotte Hornets,90,,"19,093",
"Fri, Nov 27, 2015",9:00p,San Antonio Spurs,91,Denver Nuggets,80,,"17,121",
"Fri, Nov 27, 2015",8:00p,Philadelphia 76ers,114,Houston Rockets,116,,"17,306",
"Fri, Nov 27, 2015",8:00p,Chicago Bulls,92,Indiana Pacers,104,,"18,165",
"Fri, Nov 27, 2015",10:30p,New Orleans Pelicans,90,Los Angeles Clippers,111,,"19,162",
"Fri, Nov 27, 2015",8:00p,Atlanta Hawks,116,Memphis Grizzlies,101,,"17,684",
"Fri, Nov 27, 2015",7:30p,Miami Heat,97,New York Knicks,78,,"19,812",
"Fri, Nov 27, 2015",8:00p,Detroit Pistons,87,Oklahoma City Thunder,103,,"18,203",
"Fri, Nov 27, 2015",7:00p,Milwaukee Bucks,90,Orlando Magic,114,,"16,317",
"Fri, Nov 27, 2015",9:30p,Golden State Warriors,135,Phoenix Suns,116,,"18,055",
"Fri, Nov 27, 2015",10:00p,Minnesota Timberwolves,101,Sacramento Kings,91,,"17,317",
